Year,city,sr,tmin,tmax,rh,sh,ep,ws,rf
Jul-10,ilorin,11.90,20.70,29.30,86.00,4.20,2.40,4.00,179.40
Aug-10,ilorin,10.50,18.30,29.00,87.00,2.70,2.10,4.00,138.10
Sep-10,ilorin,13.90,17.70,28.90,86.00,5.60,2.60,4.00,268.90
Oct-10,ilorin,16.60,21.10,30.80,85.00,5.90,2.80,4.00,248.30
Nov-10,ilorin,17.20,21.60,33.80,78.00,7.90,6.60,3.00,35.70
Dec-10,ilorin,18.10,18.30,34.10,58.00,8.40,8.30,3.30,0.25
Jan-11,ilorin,14.90,21.70,34.40,65.00,8.30,8.20,4.20,34.80
Feb-11,ilorin,17.20,22.40,34.70,35.00,8.40,8.40,4.60,0.25
Mar-11,ilorin,18.20,25.30,36.90,61.00,7.40,5.50,5.10,19.60
Apr-11,ilorin,15.50,26.20,34.40,73.00,6.50,6.30,3.30,45.90
May-11,ilorin,15.10,25.90,33.00,76.00,5.90,4.50,5.00,105.60
Jun-11,ilorin,15.10,21.30,30.60,84.00,6.10,3.30,4.60,194.20
Jul-11,ilorin,13.30,212.60,29.70,82.00,4.90,2.90,4.00,81.00
Aug-11,ilorin,15.30,21.50,28.60,89.00,2.90,3.10,5.00,185.00
Sep-11,ilorin,14.20,21.70,30.00,87.00,5.50,2.30,4.00,281.70
Oct-11,ilorin,15.70,21.60,30.90,83.00,5.80,2.50,4.00,42.50
Nov-11,ilorin,14.90,18.80,35.00,72.00,7.70,5.60,3.00,0.25
Dec-11,ilorin,13.90,18.90,34.40,55.00,8.30,8.90,3.20,0.25
Jan-12,ilorin,14.10,18.40,34.20,50.00,6.50,7.90,8.00,0.25
Feb-12,ilorin,15.10,20.50,35.90,50.00,7.20,12.80,6.00,0.25
Mar-12,ilorin,15.30,23.70,37.20,70.00,7.90,10.40,6.00,13.80
Apr-12,ilorin,15.70,23.00,35.50,72.00,7.40,6.10,6.00,53.30
May-12,ilorin,15.80,22.90,33.20,77.00,5.40,5.50,5.00,145.10
Jun-12,ilorin,13.00,21.90,31.00,83.00,6.60,2.90,4.20,137.30
Jul-12,ilorin,11.80,21.80,29.70,86.00,4.80,3.10,5.00,85.10
Aug-12,ilorin,13.20,21.40,28.40,88.00,3.30,2.30,4.00,57.00
Sep-12,ilorin,14.30,20.90,29.70,87.00,4.80,2.50,3.00,173.60
Oct-12,ilorin,16.50,21.60,32.70,80.00,6.10,3.20,3.00,31.90
Nov-12,ilorin,18.00,22.40,35.50,70.00,8.60,6.70,3.00,0.25
Dec-12,ilorin,14.40,21.10,35.20,67.00,8.20,8.80,3.40,0.25
Jan-13,ilorin,15.10,18.10,32.30,39.00,6.30,3.50,5.00,7.20
Feb-13,ilorin,18.20,21.90,36.50,57.00,8.10,11.60,6.00,0.25
Mar-13,ilorin,16.90,24.60,36.70,70.00,7.80,8.70,7.00,28.40
Apr-13,ilorin,17.20,23.80,34.00,75.00,4.90,7.40,8.00,106.70
May-13,ilorin,16.20,23.50,33.50,74.00,6.50,4.50,6.00,45.80
Jun-13,ilorin,13.50,22.30,31.70,79.00,7.00,3.70,6.00,96.80
Jul-13,ilorin,11.00,22.30,29.50,86.00,5.20,3.20,2.00,160.00
Aug-13,ilorin,11.80,21.70,28.50,88.00,4.60,2.90,3.00,257.90
Sep-13,ilorin,12.60,21.80,29.80,84.00,5.20,2.80,2.00,93.30
Oct-13,ilorin,14.40,21.40,31.60,79.00,5.90,4.20,2.00,100.30
Nov-13,ilorin,16.20,21.40,34.10,76.00,7.90,7.30,1.00,5.90
Dec-13,ilorin,14.60,19.00,34.00,50.00,8.50,8.10,3.00,0.25
Jan-14,ilorin,14.30,20.90,34.80,61.00,6.90,10.80,2.00,0.25
Feb-14,ilorin,16.90,23.70,36.60,71.00,7.10,10.80,3.30,0.25
Mar-14,ilorin,17.20,24.20,37.10,64.00,6.90,7.90,3.40,25.30
Apr-14,ilorin,18.30,23.60,33.80,74.00,6.60,3.50,6.30,81.50
May-14,ilorin,17.50,23.60,33.10,75.00,6.60,5.50,5.00,98.00
Jun-14,ilorin,13.30,21.90,30.20,84.00,6.60,4.30,5.30,370.80
Jul-14,ilorin,12.80,21.50,29.00,85.00,4.30,2.70,5.60,94.20
Aug-14,ilorin,12.50,21.90,29.00,86.00,2.90,2.60,4.90,80.70
Sep-14,ilorin,14.50,21.30,29.30,86.00,4.10,2.80,4.40,105.20
Oct-14,ilorin,16.50,22.00,31.20,83.00,6.30,3.30,4.00,169.70
Nov-14,ilorin,17.10,21.20,32.20,75.00,7.70,6.40,4.40,8.10
Dec-14,ilorin,14.90,19.20,31.90,55.00,7.30,9.60,5.10,0.25
Jan-15,ilorin,12.30,20.10,36.00,58.00,7.20,8.00,3.60,0.25
Feb-15,ilorin,16.00,22.70,35.90,58.00,8.20,8.40,6.20,45.10
Mar-15,ilorin,16.70,23.70,36.60,62.00,6.70,9.50,6.20,77.50
Apr-15,ilorin,16.10,22.80,32.00,73.00,6.40,5.50,6.50,210.30
May-15,ilorin,16.00,22.70,30.00,81.00,6.70,5.00,4.50,310.40
Jun-15,ilorin,13.50,21.80,30.00,83.00,6.10,2.80,5.20,192.70
Jul-15,ilorin,10.10,21.50,29.00,86.00,2.60,2.80,5.60,156.80
Aug-15,ilorin,8.90,21.60,30.00,86.00,3.90,3.00,5.70,187.90
Sep-15,ilorin,13.70,21.70,31.00,86.00,3.70,2.10,4.10,104.10
Oct-15,ilorin,17.10,21.90,31.10,84.00,6.60,4.10,4.20,9.20
Nov-15,ilorin,18.00,21.90,34.00,76.00,8.30,5.70,3.00,0.25
Dec-15,ilorin,10.00,19.00,34.00,42.00,8.20,8.80,3.80,0.25
Jan-16,ilorin,16.00,24.00,37.00,70.00,7.90,10.00,3.30,8.00
Feb-16,ilorin,17.80,24.00,36.00,71.00,7.10,9.40,6.20,60.10
Mar-16,ilorin,17.30,25.00,35.00,75.00,7.10,6.30,6.20,108.80
Apr-16,ilorin,15.30,23.00,31.00,81.00,6.90,3.90,5.00,255.70
May-16,ilorin,14.40,23.00,30.00,85.00,5.70,3.30,6.00,211.50
Jun-16,ilorin,12.70,22.00,29.00,86.00,4.70,2.60,6.10,133.80
Jul-16,ilorin,10.80,21.00,28.00,84.00,4.00,2.70,6.50,63.80
Aug-16,ilorin,12.20,22.00,30.00,88.00,3.90,2.60,2.90,271.50
Sep-16,ilorin,17.00,22.00,31.00,84.00,6.50,2.90,3.60,179.80
Oct-16,ilorin,17.70,21.00,34.00,73.00,6.60,5.20,2.70,1.00
Nov-16,ilorin,15.10,21.00,34.00,71.00,8.10,7.00,2.30,11.90
Dec-16,ilorin,14.10,23.20,33.10,80.00,7.80,11.10,3.20,0.60
Jan-17,ilorin,17.00,24.10,36.20,72.00,7.70,8.90,4.40,10.00
Feb-17,ilorin,18.90,23.40,34.40,74.00,6.50,7.40,6.00,79.40
Mar-17,ilorin,16.80,23.90,35.70,74.00,6.20,6.30,6.80,97.50
Apr-17,ilorin,15.90,22.20,31.20,82.00,5.70,3.40,6.10,192.40
May-17,ilorin,14.30,21.80,30.60,83.00,6.40,2.90,4.80,129.70
Jun-17,ilorin,11.80,21.70,29.40,86.00,4.30,2.60,4.90,195.40
Jul-17,ilorin,12.60,21.40,27.60,87.00,6.10,2.90,5.50,86.00
Aug-17,ilorin,16.40,21.60,29.70,87.00,5.60,2.40,3.30,262.10
Sep-17,ilorin,17.30,21.80,31.50,83.00,7.60,2.90,3.80,250.70
Oct-17,ilorin,17.40,18.40,33.60,55.00,7.60,6.90,3.50,0.25
Nov-17,ilorin,14.70,16.50,33.80,56.00,8.00,6.60,2.70,0.25
